name,rank,artist,year,id,length,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
Say Goodbye,86,['Chris Brown'],2006,5F7IJrXD6Fa3EmqoYE0gU4,289.76,0.8,0.502,1,-6.062,0.0371,0.00167,0.0784,0.388,115.091
Waiting On The World To Change,87,['John Mayer'],2006,5imShWWzwqfAJ9gXFpGAQh,201.173,0.578,0.756,2,-5.82,0.115,0.157,0.249,0.663,176.739
Soul Survivor,88,"['Young Jeezy', 'Akon']",2006,0Ss50OU9tCozI7JIywkv14,280.013,0.682,0.483,10,-7.718,0.0451,0.00103,0.159,0.108,84.012
Pump It,89,['The Black Eyed Peas'],2006,6E5pe8Zb3Od3ToEBwRxHSt,217.72,0.736,0.824,1,-3.401,0.145,0.000628,0.325,0.755,153.609
When I'm Gone,90,['Eminem'],2006,2lRI7n5b9jlPYsEpRuots6,281.12,0.608,0.745,10,-5.496,0.365,0.0551,0.27,0.725,150.068
Hung Up,91,['Madonna'],2006,3850dYVgOFIXJh5U4BFEWH,337.733,0.649,0.647,9,-7.695,0.0452,0.0039,0.0686,0.405,125.02
Stay Fly,92,"['Three 6 Mafia', 'Young Buck', 'Eightball', 'MJG']",2006,5MYFw4T2gy52pOGBN4EYHS,236.6,0.789,0.881,11,-5.758,0.0331,0.109,0.355,0.647,133.299
Love,93,['Keyshia Cole'],2006,0W4NhJhcqKCqEP2GIpDCDq,255.333,0.688,0.519,5,-4.285,0.0283,0.064,0.1,0.318,116.714
When You're Mad,94,['Ne-Yo'],2006,5FXOEdfNW7nYQrBWtW49Cl,222,0.66,0.548,6,-7.127,0.215,0.364,0.108,0.436,86.947
Why You Wanna,95,['T.I.'],2006,1g0oI97rPdYuWDIpkbtQdv,215,0.802,0.772,1,-4.893,0.192,0.358,0.0603,0.654,96.046
Stupid Girls,96,['P!nk'],2006,1Ab6RxeKl3e07zP7Get7CX,197.173,0.683,0.886,4,-5.045,0.071,0.000738,0.0524,0.566,100.04
Feel Good Inc,97,['Gorillaz'],2006,0d28khcov6AiegSCpG5TuT,222.64,0.818,0.705,6,-6.679,0.177,0.00836,0.613,0.772,138.559
I'm Sprung,98,['T-Pain'],2006,7mEaVKlxsk8NPiLX4Jsw3p,124.883,0.791,0.462,0,-13.538,0.206,0.00659,0.162,0.674,99.988
Do I Make You Proud,99,['Taylor Hicks'],2006,3lxFENvLW8nxXAbNfkZ7IJ,248.693,0.463,0.524,1,-8.207,0.0316,0.026,0.102,0.308,144.055
For You I Will (Confidence),100,['Teddy Geiger'],2006,43q9QXWgnB6b4qRq60CO0N,230.92,0.335,0.541,4,-8.522,0.0665,0.34,0.125,0.287,86.567
Irreplaceable,1,['Beyonce'],2007,6RX5iL93VZ5fKmyvNXvF1r,227.853,0.447,0.694,7,-4.637,0.382,0.0293,0.167,0.509,175.868
Umbrella,2,"['Rihanna', 'Jay-Z']",2007,49FYlytm3dAAraYgpoJZux,275.986,0.583,0.829,1,-4.603,0.134,0.00864,0.0426,0.575,174.028
The Sweet Escape,3,"['Gwen Stefani', 'Akon']",2007,66ZcOcouenzZEnzTJvoFmH,246.466,0.756,0.77,1,-3.502,0.0343,0.191,0.178,0.73,119.961
Big Girls Don't Cry,4,['Fergie'],2007,3Q4WeJmzxuDpzMu9QjQqbM,268.12,0.708,0.641,7,-4.296,0.0335,0.205,0.0945,0.253,113.082
Buy U A Drank (Shawty Snappin'),5,"['T-Pain', 'Yung Joc']",2007,1tkMs9wDPknQ3ZHcKDw1ES,227.96,0.693,0.549,1,-8.141,0.119,0.0109,0.0677,0.605,80.028
Before He Cheats,6,['Carrie Underwood'],2007,0ZUo4YjG4saFnEJhdWp9Bt,199.946,0.519,0.749,6,-3.318,0.0405,0.271,0.119,0.29,147.905
Hey There Delilah,7,"[""Plain White T's""]",2007,4RCWB3V8V0dignt99LZ8vH,232.533,0.656,0.291,2,-10.572,0.0293,0.872,0.114,0.298,103.971
I Wanna Love You,8,"['Akon', 'Snoop Dogg']",2007,4xAk8Lw82G3YoVSOdVAsBx,247.066,0.866,0.454,0,-9.383,0.0414,0.0373,0.275,0.368,99.985
Say It Right,9,['Nelly Furtado'],2007,2aI21FnmY7TJVKeMaoQZ0t,223.08,0.872,0.872,1,-6.328,0.139,0.0476,0.0543,0.809,116.948
